2022-10-31 14:17:38,240 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:17:38,769 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:17:39,315 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:17:39,855 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:17:40,386 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2022-10-31 14:18:16,384 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:18:16,913 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:18:17,459 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:18:18,003 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:18:18,538 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2022-10-31 14:19:27,334 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:21:41,809 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:21:42,338 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:21:42,881 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:21:43,419 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:21:43,951 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2022-10-31 14:22:39,514 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:22:59,358 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:22:59,887 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:23:00,432 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:23:00,974 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:23:01,507 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2022-10-31 14:23:40,491 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:23:41,020 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9010).
